type,frequency,target,result,status,is_primary,start_date,end_date,created_on,edited_on
ACTIVE_ZONE_MINUTES_GOAL,DAILY,22.0,null,NEW,false,null,null,2023-02-03T12:28:11.019+00:00,null
ACTIVE_ZONE_MINUTES_GOAL,WEEKLY,150.0,null,NEW,false,null,null,2023-02-03T12:28:11.355+00:00,null
CALORIES_BURNED_GOAL,DAILY,2655.0,1722.0,INPROGRESS_SO_FAR_MISSED,false,2025-08-06,2025-08-07,2022-10-20T01:42:36.000+00:00,null
STEPS_GOAL,DAILY,10000.0,5128.0,INPROGRESS_SO_FAR_MISSED,false,2025-08-06,2025-08-07,2022-10-20T01:42:36.000+00:00,null
FLOORS_CLIMBED_GOAL,DAILY,10.0,1.0,INPROGRESS_SO_FAR_MISSED,false,2025-08-06,2025-08-07,2022-10-20T01:42:36.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,DAILY,5.0,2.4486,INPROGRESS_SO_FAR_MISSED,false,2025-08-06,2025-08-07,2022-10-20T01:42:36.000+00:00,null
ACTIVE_MINUTES_GOAL,DAILY,30.0,61.0,COMPLETED_ACHIEVED,false,2025-08-06,2025-08-07,2022-10-20T01:42:36.000+00:00,null
STEPS_GOAL,WEEKLY,70000.0,22656.0,INPROGRESS_SO_FAR_MISSED,true,2025-08-03,2025-08-10,2022-10-20T01:42:36.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,WEEKLY,35.0,10.1119,INPROGRESS_SO_FAR_MISSED,false,2025-08-03,2025-08-10,2022-10-20T01:42:36.000+00:00,null
FLOORS_CLIMBED_GOAL,WEEKLY,70.0,11.0,INPROGRESS_SO_FAR_MISSED,false,2025-08-03,2025-08-10,2022-10-20T01:42:36.000+00:00,null
CALORIES_BURNED_GOAL,WEEKLY,18585.0,9056.0,INPROGRESS_SO_FAR_MISSED,false,2025-08-03,2025-08-10,2022-10-20T01:42:36.000+00:00,null
WATER_GOAL,DAILY,1893.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-15,2022-10-22,2022-10-20T01:42:36.000+00:00,null
