name,objectives,schedule,status,update_time
daily-active-minutes,"MEASURE: active-minutes, TARGET: AT_LEAST(30)",AILY,ENABLED,2022-10-20 01:42:36+0000
daily-azm,"MEASURE: active-zone-minutes, TARGET: AT_LEAST(22)",AILY,ENABLED,2023-02-03 12:28:11+0000
daily-bedtime,"MEASURE: bedtime, TARGET: <UNKNOWN>",AILY,ENABLED,2024-09-13 09:34:30+0000
daily-distance,"MEASURE: steps-distance, TARGET: AT_LEAST(5000000)",AILY,ENABLED,2022-10-20 01:42:36+0000
daily-energy-burned,"MEASURE: energy-burned, TARGET: AT_LEAST(2655)",AILY,ENABLED,2022-10-20 01:42:36+0000
daily-floors,"MEASURE: floors-count, TARGET: AT_LEAST(10)",AILY,ENABLED,2022-10-20 01:42:36+0000
daily-sleep-duration,"MEASURE: sleep-duration, TARGET: AT_LEAST(23400)",AILY,ENABLED,2024-09-13 09:34:30+0000
daily-steps,"MEASURE: steps-count, TARGET: AT_LEAST(10000)",AILY,ENABLED,2022-10-20 01:42:36+0000
daily-wake-time,"MEASURE: wake-time, TARGET: <UNKNOWN>",AILY,ENABLED,2024-09-13 09:34:30+0000
daily-water-consumed,"MEASURE: water-consumed-ml, TARGET: AT_LEAST(1893)",AILY,ENABLED,2022-10-20 01:42:36+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(0, 29)",2024-09-26 00:00:00 - 2024-09-27 00:00:00,ENABLED,2024-09-26 09:45:23+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(0, 29)",2024-09-28 00:00:00 - 2024-09-29 00:00:00,ENABLED,2024-09-28 09:19:53+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(0, 34)",2024-09-29 00:00:00 - 2024-09-30 00:00:00,ENABLED,2024-09-29 07:54:00+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 19)",2024-10-31 00:00:00 - 2024-11-01 00:00:00,ENABLED,2024-10-31 09:53:33+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 19)",2024-12-23 00:00:00 - 2024-12-24 00:00:00,ENABLED,2024-12-23 10:45:18+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 19)",2024-12-25 00:00:00 - 2024-12-26 00:00:00,ENABLED,2024-12-25 13:12:01+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 19)",2025-06-15 00:00:00 - 2025-06-16 00:00:00,ENABLED,2025-06-14 23:21:58+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 20)",2025-05-28 00:00:00 - 2025-05-29 00:00:00,ENABLED,2025-05-28 05:35:13+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 21)",2025-05-16 00:00:00 - 2025-05-17 00:00:00,ENABLED,2025-05-15 23:11:13+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2024-11-01 00:00:00 - 2024-11-02 00:00:00,ENABLED,2024-11-01 09:54:04+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2024-11-02 00:00:00 - 2024-11-03 00:00:00,ENABLED,2024-11-02 10:07:58+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2024-11-03 00:00:00 - 2024-11-04 00:00:00,ENABLED,2024-11-03 13:22:44+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2024-11-04 00:00:00 - 2024-11-05 00:00:00,ENABLED,2024-11-04 11:00:04+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2025-06-01 00:00:00 - 2025-06-02 00:00:00,ENABLED,2025-05-31 23:13:49+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2025-06-03 00:00:00 - 2025-06-04 00:00:00,ENABLED,2025-06-03 00:51:58+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 23)",2025-01-05 00:00:00 - 2025-01-06 00:00:00,ENABLED,2025-01-05 13:08:10+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 23)",2025-03-07 00:00:00 - 2025-03-08 00:00:00,ENABLED,2025-03-07 11:31:38+0000
