workout_name_localization_id,workout_name,workout_type,warm_up_block_name_localization_id,warm_up_block_name,warm_up_round_name_localization_id,warm_up_round_name,warm_up_round_cycles,warm_up_round_fixed_duration_micro_sec,warm_up_round_segment_name_localization_id,warm_up_round_segment_name,warm_up_round_segment_type,warm_up_round_segment_goal_type,warm_up_round_segment_movement_goal_type,warm_up_round_segment_movement_exact_value,warm_up_round_segment_movement_range_value_lower_bound,warm_up_round_segment_movement_range_value_upper_bound,warm_up_round_segment_movement_target_type,warm_up_round_segment_movement_target_exact_value,warm_up_round_segment_movement_target_range_value_lower_bound,warm_up_round_segment_movement_target_range_value_upper_bound,main_block_name_localization_id,main_block_name,main_block_round_name_localization_id,main_block_round_name,main_block_round_cycles,main_block_round_fixed_duration_micro_sec,main_round_segment_name_localization_id,main_round_segment_name,main_round_segment_type,main_round_segment_goal_type,main_round_segment_movement_goal_type,main_round_segment_movement_goal_exact_value,main_round_segment_movement_goal_range_value_lower_bound,main_round_segment_movement_goal_range_value_upper_bound,main_round_segment_movement_target_type,main_round_segment_movement_target_exact_value,main_round_segment_movement_target_range_value_lower_bound,main_round_segment_movement_target_range_value_upper_bound,cool_down_block_name_localization_id,cool_down_block_name,cool_down_round_name_localization_id,cool_down_round_name,cool_down_round_cycles,cool_down_round_fixed_duration_micro_sec,cool_down_round_segment_name_localization_id,cool_down_round_segment_name,cool_down_round_segment_type,cool_down_round_segment_goal_type,cool_down_round_segment_movement_goal_type,cool_down_round_segment_movement_goal_exact_value,cool_down_round_segment_movement_goal_range_value_lower_bound,cool_down_round_segment_movement_goal_range_value_upper_bound,cool_down_round_segment_movement_target_type,cool_down_round_segment_movement_target_exact_value,cool_down_round_segment_movement_target_range_value_lower_bound,cool_down_round_segment_movement_target_range_value_upper_bound
,Distance run,WORKOUT_TYPE_RUNNING,,,,,,300000000,,,,,,,,,,,,,,,,,,,,,WORKOUT_SEGMENT_TYPE_REST,WORKOUT_SEGMENT_GOAL_TYPE_TIME,METRIC_TYPE_DURATION_MILLISECONDS,60000,,,,,,,,,,,,300000000,,,,,,,,,,,,
,Distance run,WORKOUT_TYPE_RUNNING,,,,,,300000000,,,,,,,,,,,,,,,,,,,,,WORKOUT_SEGMENT_TYPE_REST,WORKOUT_SEGMENT_GOAL_TYPE_TIME,METRIC_TYPE_DURATION_MILLISECONDS,60000,,,,,,,,,,,,300000000,,,,,,,,,,,,
,Distance run,WORKOUT_TYPE_RUNNING,,,,,,300000000,,,,,,,,,,,,,,,,,,,,,WORKOUT_SEGMENT_TYPE_WORK,WORKOUT_SEGMENT_GOAL_TYPE_DISTANCE,METRIC_TYPE_DISTANCE_MILLIMETER,1609344,,,,,,,,,,,,300000000,,,,,,,,,,,,
,Distance run,WORKOUT_TYPE_RUNNING,,,,,,300000000,,,,,,,,,,,,,,,,,,,,,WORKOUT_SEGMENT_TYPE_WORK,WORKOUT_SEGMENT_GOAL_TYPE_DISTANCE,METRIC_TYPE_DISTANCE_MILLIMETER,1609344,,,,,,,,,,,,300000000,,,,,,,,,,,,
,Distance run,WORKOUT_TYPE_RUNNING,,,,,,300000000,,,,,,,,,,,,,,,,,,,,,WORKOUT_SEGMENT_TYPE_WORK,WORKOUT_SEGMENT_GOAL_TYPE_DISTANCE,METRIC_TYPE_DISTANCE_MILLIMETER,1609344,,,,,,,,,,,,300000000,,,,,,,,,,,,
INTERVAL_RUN_PRESET_NAME,,WORKOUT_TYPE_RUNNING,,,,,,300000000,,,,,,,,,,,,,,,,,8,,,,WORKOUT_SEGMENT_TYPE_REST,WORKOUT_SEGMENT_GOAL_TYPE_TIME,METRIC_TYPE_DURATION_MILLISECONDS,120000,,,,,,,,,,,,300000000,,,,,,,,,,,,
INTERVAL_RUN_PRESET_NAME,,WORKOUT_TYPE_RUNNING,,,,,,300000000,,,,,,,,,,,,,,,,,8,,,,WORKOUT_SEGMENT_TYPE_WORK,WORKOUT_SEGMENT_GOAL_TYPE_DISTANCE,METRIC_TYPE_DISTANCE_MILLIMETER,402336,,,,,,,,,,,,300000000,,,,,,,,,,,,
MODERATE_ZONE_RUN_PRESET_NAME,,WORKOUT_TYPE_RUNNING,,,,,,300000000,,,,,,,,,,,,,,,,,,,,,WORKOUT_SEGMENT_TYPE_WORK,WORKOUT_SEGMENT_GOAL_TYPE_TIME,METRIC_TYPE_DURATION_MILLISECONDS,1800000,,,METRIC_TYPE_HEART_RATE_ZONE,2,,,,,,,,300000000,,,,,,,,,,,,
OPEN_RUN_PRESET_NAME,,WORKOUT_TYPE_RUNNING,,,,,,300000000,,,,,,,,,,,,,,,,,,,,,WORKOUT_SEGMENT_TYPE_WORK,WORKOUT_SEGMENT_GOAL_TYPE_OPEN,,,,,,,,,,,,,,300000000,,,,,,,,,,,,
TIMED_RUN_PRESET_NAME,,WORKOUT_TYPE_RUNNING,,,,,,300000000,,,,,,,,,,,,,,,,,,,,,WORKOUT_SEGMENT_TYPE_WORK,WORKOUT_SEGMENT_GOAL_TYPE_TIME,METRIC_TYPE_DURATION_MILLISECONDS,1800000,,,,,,,,,,,,300000000,,,,,,,,,,,,
TIME_TRIAL_RUN_PRESET_NAME,,WORKOUT_TYPE_RUNNING,,,,,,300000000,,,,,,,,,,,,,,,,,,,,,WORKOUT_SEGMENT_TYPE_WORK,WORKOUT_SEGMENT_GOAL_TYPE_PACER,METRIC_TYPE_DISTANCE_MILLIMETER,4828032,,,METRIC_TYPE_DURATION_MILLISECONDS,1800000,,,,,,,,300000000,,,,,,,,,,,,
