timestamp,rmssd,coverage,low_frequency,high_frequency
2024-09-24T00:00:00,40.679,0.949,618.954,328.254
2024-09-24T00:05:00,39.778,0.987,2911.039,329.28
2024-09-24T00:10:00,47.716,0.834,4475.079,341.235
2024-09-24T00:15:00,42.669,0.947,1717.11,288.127
2024-09-24T00:20:00,24.152,0.975,721.498,141.066
2024-09-24T00:25:00,24.638,0.987,825.665,115.139
2024-09-24T00:30:00,24.023,0.991,676.975,123.23
2024-09-24T00:35:00,30.385,0.954,732.593,199.352
2024-09-24T00:40:00,42.246,0.978,2024.207,447.469
2024-09-24T00:45:00,37.558,1.004,1091.893,228.294
2024-09-24T00:50:00,38.209,0.897,2804.724,245.25
2024-09-24T00:55:00,63.979,0.854,4483.045,821.287
2024-09-24T01:00:00,42.707,0.834,2223.382,405.748
2024-09-24T01:05:00,57.953,0.865,2460.378,645.663
2024-09-24T01:15:00,56.979,0.745,2577.886,388.397
2024-09-24T01:20:00,48.309,0.726,2296.935,478.637
2024-09-24T01:25:00,53.479,0.86,1350.418,629.185
2024-09-24T01:40:00,42.023,0.939,591.518,508.009
2024-09-24T01:45:00,42.3,0.893,2234.966,362.58
2024-09-24T01:50:00,37.003,0.941,1484.451,226.949
2024-09-24T01:55:00,41.506,0.864,2345.635,210.925
2024-09-24T02:00:00,43.654,0.948,1768.427,302.331
2024-09-24T02:05:00,46.749,0.959,1911.859,399.254
2024-09-24T02:10:00,42.172,0.894,2764.717,298.47
2024-09-24T02:15:00,42.711,0.954,2358.162,247.439
2024-09-24T02:20:00,62.4,0.882,7015.052,592.318
2024-09-24T02:25:00,53.672,0.905,4013.75,309.135
2024-09-24T02:30:00,60.226,0.93,5873.359,550.326
2024-09-24T02:35:00,44.878,0.845,875.714,302.082
2024-09-24T02:40:00,43.579,0.973,3279.561,243.892
2024-09-24T02:45:00,42.596,1.003,2039.428,332.007
2024-09-24T02:50:00,51.732,0.893,1331.029,463.308
2024-09-24T02:55:00,43.222,1.004,1612.78,340.003
2024-09-24T03:00:00,30.335,0.933,500.251,186.518
2024-09-24T03:05:00,34.692,0.973,561.311,259.247
2024-09-24T03:10:00,47.658,0.947,3306.55,376.851
2024-09-24T03:15:00,35.83,0.998,1348.292,205.471
2024-09-24T03:20:00,29.901,0.936,891.655,164.257
2024-09-24T03:25:00,32.958,0.991,1703.848,288.782
2024-09-24T03:30:00,31.647,0.883,851.975,196.031
2024-09-24T03:35:00,37.167,0.981,1043.285,287.587
2024-09-24T03:40:00,39.598,0.96,5158.171,170.368
2024-09-24T03:45:00,51.645,1.001,2014.715,441.301
2024-09-24T03:50:00,59.02,0.962,1334.802,817.569
2024-09-24T03:55:00,65.264,1.003,740.695,1180.576
2024-09-24T04:00:00,73.938,0.93,4342.221,1487.617
2024-09-24T04:05:00,64.778,0.893,3899.992,934.419
2024-09-24T04:10:00,34.799,0.919,513.792,167.522
2024-09-24T04:15:00,36.685,0.996,1791.527,204.178
2024-09-24T04:20:00,33.177,1.002,995.267,163.808
2024-09-24T04:25:00,35.341,1.004,406.436,190.625
2024-09-24T04:30:00,35.887,1.005,723.942,180.608
2024-09-24T04:35:00,35.165,0.947,631.363,218.583
2024-09-24T22:30:00,40.82,0.812,1035.291,175.468
2024-09-24T22:35:00,42.489,0.953,1398.118,298.367
2024-09-24T22:40:00,38.834,0.949,2192.98,266.383
2024-09-24T22:45:00,44.375,0.995,561.759,463.316
2024-09-24T22:50:00,43.309,0.93,624.505,308.381
2024-09-24T22:55:00,42.845,0.974,1099.117,409.421
2024-09-24T23:00:00,42.07,0.896,2038.877,321.323
2024-09-24T23:05:00,42.474,0.984,1922.571,261.962
2024-09-24T23:10:00,50.647,0.912,5670.977,387.506
2024-09-24T23:15:00,51.727,0.828,4536.614,387.94
2024-09-24T23:20:00,33.935,0.973,486.436,179.024
2024-09-24T23:25:00,37.21,1.005,4841.576,291.902
2024-09-24T23:30:00,25.289,0.983,947.353,77.342
2024-09-24T23:35:00,39.991,1.003,730.277,385.779
2024-09-24T23:40:00,50.898,0.949,2460.474,777.608
2024-09-24T23:45:00,38.858,1.004,747.171,347.667
2024-09-24T23:50:00,44.314,0.903,2150.1,253.407
2024-09-24T23:55:00,56.812,0.94,3874.775,880.601
