timestamp,bucket_values
2025-01-02T04:22:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.007, 0.035, 0.082, 0.159, 0.23, 0.219, 0.129, 0.07, 0.04, 0.016, 0.007, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-01-04T04:15:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.011, 0.051, 0.109, 0.2, 0.225, 0.174, 0.107, 0.065, 0.029, 0.016, 0.006, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-01-05T07:06:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.003, 0.014, 0.068, 0.117, 0.174, 0.235, 0.212, 0.112, 0.041, 0.015, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-01-06T04:51:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.013, 0.048, 0.112, 0.187, 0.231, 0.205, 0.118, 0.052, 0.019, 0.007, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-01-07T04:25:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.007, 0.027, 0.082, 0.189, 0.27, 0.235, 0.111, 0.047, 0.019, 0.008, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-01-08T04:51:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.007, 0.028, 0.073, 0.116, 0.145, 0.173, 0.17, 0.133, 0.086, 0.042, 0.016, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-01-10T04:44:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.006, 0.011, 0.053, 0.096, 0.164, 0.251, 0.206, 0.113, 0.055, 0.026, 0.013, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-01-13T04:44:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.024, 0.127, 0.264, 0.265, 0.21, 0.077, 0.02, 0.005, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-01-22T04:44:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006, 0.008, 0.006, 0.012, 0.036, 0.078, 0.143, 0.193, 0.207, 0.151, 0.083, 0.041, 0.02, 0.01, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-01-25T03:30:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.008, 0.017, 0.042, 0.096, 0.146, 0.182, 0.166, 0.141, 0.096, 0.057, 0.028, 0.013, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-01-25T06:56:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.008, 0.016, 0.043, 0.107, 0.165, 0.195, 0.168, 0.133, 0.083, 0.045, 0.021, 0.009, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-01-27T03:41:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.005, 0.008, 0.045, 0.092, 0.13, 0.183, 0.196, 0.167, 0.098, 0.043, 0.02, 0.009, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-01-29T04:45:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.005, 0.011, 0.046, 0.088, 0.133, 0.19, 0.213, 0.161, 0.087, 0.04, 0.016, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-01-30T01:42:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.018, 0.047, 0.113, 0.15, 0.198, 0.18, 0.121, 0.08, 0.047, 0.024, 0.011, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-01-30T06:30:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.012, 0.031, 0.087, 0.135, 0.195, 0.205, 0.152, 0.095, 0.048, 0.021, 0.009, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-01-31T04:30:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.006, 0.015, 0.038, 0.076, 0.12, 0.161, 0.183, 0.171, 0.109, 0.06, 0.033, 0.016, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
