timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2025-01-02T04:22:30,13.2,2.1,6.093,15.6,1.2,3.344,13.2,2.1,6.093,17.4,0.6,2.564
2025-01-04T04:15:30,14.2,1.4,11.135,-1.0,0.0,0.0,14.2,1.4,11.135,14.4,1.0,2.917
2025-01-05T07:06:30,14.4,1.2,10.047,14.4,1.2,10.047,14.0,1.5,7.184,13.8,1.8,2.886
2025-01-06T04:51:30,14.4,2.0,8.792,15.6,0.9,2.809,14.4,2.0,8.792,11.2,0.5,2.901
2025-01-07T04:25:30,14.6,1.8,6.53,15.0,0.6,3.784,14.6,1.8,6.53,13.8,0.4,3.367
2025-01-08T04:51:30,14.2,1.6,8.488,-1.0,0.0,0.0,14.2,1.6,8.488,11.2,0.8,4.177
2025-01-10T04:44:30,13.2,1.5,6.802,12.8,0.6,3.245,13.2,1.5,6.802,14.8,1.1,3.394
2025-01-13T04:44:30,15.6,1.3,6.741,15.6,1.3,6.741,13.8,1.5,6.115,13.2,1.5,4.587
2025-01-22T04:44:30,13.4,1.7,10.113,15.2,1.2,3.69,13.4,1.7,10.113,14.4,0.7,2.944
2025-01-25T03:30:30,13.2,1.3,9.344,13.6,1.4,2.822,13.2,1.3,9.344,12.8,1.0,2.664
2025-01-25T06:56:30,14.4,1.1,4.29,14.4,1.1,4.29,13.2,1.5,11.329,14.8,1.1,6.57
2025-01-27T03:41:30,13.6,1.8,6.74,12.4,0.6,2.636,13.6,1.8,6.74,14.0,1.3,4.334
2025-01-29T04:45:00,14.0,2.0,7.228,-1.0,0.0,0.0,14.0,2.0,7.228,13.0,2.1,5.335
2025-01-30T01:42:30,14.4,0.9,9.928,14.4,0.9,9.928,14.6,1.9,9.094,-1.0,0.0,1.952
2025-01-30T06:30:30,14.6,0.7,5.751,14.6,0.7,5.751,14.0,2.1,9.906,13.2,0.6,3.138
2025-01-31T04:30:30,13.8,0.7,7.659,13.8,0.7,7.659,14.2,1.7,9.413,13.2,2.1,3.474
