timestamp,light,moderate,very
2024-07-01T17:08:00Z,1,0,0
2024-07-01T17:10:00Z,1,0,0
2024-07-01T17:13:00Z,1,0,0
2024-07-01T17:25:00Z,1,0,0
2024-07-01T17:26:00Z,1,0,0
2024-07-01T17:28:00Z,1,0,0
2024-07-01T17:29:00Z,1,0,0
2024-07-01T17:30:00Z,1,0,0
2024-07-01T17:31:00Z,1,0,0
2024-07-01T17:35:00Z,1,0,0
2024-07-01T17:36:00Z,1,0,0
2024-07-01T17:37:00Z,1,0,0
2024-07-01T17:44:00Z,1,0,0
2024-07-01T17:52:00Z,1,0,0
2024-07-01T17:58:00Z,1,0,0
2024-07-02T11:23:00Z,0,1,0
2024-07-02T11:24:00Z,0,0,1
2024-07-02T11:25:00Z,0,0,1
2024-07-02T11:26:00Z,0,0,1
2024-07-02T11:27:00Z,0,0,1
2024-07-02T11:28:00Z,0,0,1
2024-07-02T11:29:00Z,0,0,1
2024-07-02T11:30:00Z,0,0,1
2024-07-02T11:31:00Z,0,0,1
2024-07-02T11:32:00Z,0,0,1
2024-07-02T11:33:00Z,0,0,1
2024-07-02T11:34:00Z,0,0,1
2024-07-02T11:35:00Z,0,0,1
2024-07-02T11:36:00Z,0,0,1
2024-07-02T11:37:00Z,0,0,1
2024-07-02T11:38:00Z,0,0,1
2024-07-02T11:39:00Z,0,0,1
2024-07-02T11:40:00Z,0,0,1
2024-07-02T11:41:00Z,0,0,1
2024-07-02T11:42:00Z,0,0,1
2024-07-02T11:43:00Z,0,0,1
2024-07-02T11:44:00Z,0,0,1
2024-07-02T11:45:00Z,0,0,1
2024-07-02T11:46:00Z,0,0,1
2024-07-02T11:47:00Z,0,0,1
2024-07-02T11:48:00Z,0,0,1
2024-07-02T11:49:00Z,0,0,1
2024-07-02T11:50:00Z,0,0,1
2024-07-02T11:51:00Z,0,0,1
2024-07-02T11:52:00Z,0,0,1
2024-07-02T11:53:00Z,0,0,1
2024-07-02T11:54:00Z,0,0,1
2024-07-02T11:55:00Z,0,0,1
