timestamp,heart rate zone,total minutes
2023-06-06T13:05:00Z,fat burn,1
2023-06-06T13:07:00Z,fat burn,1
2023-06-06T13:09:00Z,fat burn,1
2023-06-06T13:10:00Z,fat burn,1
2023-06-06T13:13:00Z,fat burn,1
2023-06-06T14:09:00Z,fat burn,1
2023-06-06T14:10:00Z,fat burn,1
2023-06-13T07:01:00Z,fat burn,1
2023-06-13T07:02:00Z,cardio,2
2023-06-13T07:03:00Z,cardio,2
2023-06-13T07:04:00Z,peak,2
2023-06-13T07:05:00Z,cardio,2
2023-06-13T07:06:00Z,fat burn,1
2023-06-13T07:07:00Z,fat burn,1
2023-06-13T07:08:00Z,fat burn,1
2023-06-13T07:09:00Z,fat burn,1
2023-06-13T07:10:00Z,cardio,2
2023-06-13T07:11:00Z,fat burn,1
2023-06-13T07:12:00Z,cardio,2
2023-06-13T07:13:00Z,cardio,2
2023-06-13T07:14:00Z,fat burn,1
2023-06-13T07:15:00Z,fat burn,1
2023-06-13T07:16:00Z,fat burn,1
2023-06-13T07:17:00Z,fat burn,1
2023-06-13T07:18:00Z,fat burn,1
2023-06-13T07:19:00Z,fat burn,1
2023-06-13T07:20:00Z,fat burn,1
2023-06-13T07:21:00Z,fat burn,1
2023-06-13T07:22:00Z,fat burn,1
2023-06-13T07:23:00Z,fat burn,1
2023-06-13T07:25:00Z,fat burn,1
2023-06-13T07:26:00Z,fat burn,1
2023-06-13T07:27:00Z,fat burn,1
2023-06-13T07:28:00Z,fat burn,1
2023-06-13T07:29:00Z,fat burn,1
2023-06-13T07:30:00Z,fat burn,1
2023-06-13T07:31:00Z,fat burn,1
2023-06-13T07:32:00Z,fat burn,1
2023-06-13T07:33:00Z,fat burn,1
2023-06-13T07:34:00Z,fat burn,1
2023-06-13T07:35:00Z,fat burn,1
2023-06-13T07:36:00Z,fat burn,1
2023-06-13T07:37:00Z,fat burn,1
2023-06-13T07:38:00Z,fat burn,1
2023-06-13T07:39:00Z,fat burn,1
2023-06-13T07:40:00Z,fat burn,1
2023-06-13T07:41:00Z,fat burn,1
2023-06-13T07:47:00Z,fat burn,1
2023-06-13T07:48:00Z,fat burn,1
2023-06-13T07:49:00Z,fat burn,1
2023-06-13T07:50:00Z,fat burn,1
2023-06-13T07:51:00Z,fat burn,1
2023-06-13T07:52:00Z,fat burn,1
2023-06-13T07:53:00Z,fat burn,1
2023-06-13T07:54:00Z,fat burn,1
2023-06-13T07:55:00Z,fat burn,1
2023-06-13T07:56:00Z,fat burn,1
2023-06-13T07:57:00Z,cardio,2
2023-06-13T07:58:00Z,fat burn,1
2023-06-13T07:59:00Z,fat burn,1
2023-06-13T08:00:00Z,cardio,2
2023-06-13T08:01:00Z,fat burn,1
2023-06-13T08:02:00Z,cardio,2
2023-06-13T08:03:00Z,cardio,2
2023-06-13T08:04:00Z,fat burn,1
2023-06-13T08:05:00Z,cardio,2
2023-06-13T08:06:00Z,fat burn,1
2023-06-13T08:07:00Z,fat burn,1
2023-06-13T08:08:00Z,fat burn,1
2023-06-13T08:09:00Z,fat burn,1
2023-06-13T08:10:00Z,fat burn,1
2023-06-13T08:11:00Z,fat burn,1
2023-06-13T08:12:00Z,fat burn,1
2023-06-13T08:13:00Z,fat burn,1
2023-06-13T08:14:00Z,fat burn,1
2023-06-13T08:16:00Z,fat burn,1
2023-06-14T07:04:00Z,fat burn,1
2023-06-14T07:05:00Z,cardio,2
2023-06-14T07:06:00Z,cardio,2
2023-06-14T07:07:00Z,peak,2
2023-06-14T07:08:00Z,peak,2
2023-06-14T07:09:00Z,cardio,2
2023-06-14T07:10:00Z,fat burn,1
2023-06-14T07:11:00Z,fat burn,1
2023-06-14T07:12:00Z,fat burn,1
2023-06-14T07:13:00Z,fat burn,1
2023-06-14T07:14:00Z,cardio,2
2023-06-14T07:15:00Z,peak,2
2023-06-14T07:16:00Z,cardio,2
2023-06-14T07:17:00Z,cardio,2
2023-06-14T07:18:00Z,cardio,2
2023-06-14T07:19:00Z,cardio,2
2023-06-14T07:20:00Z,cardio,2
2023-06-14T07:21:00Z,cardio,2
2023-06-14T07:22:00Z,cardio,2
2023-06-14T07:23:00Z,cardio,2
2023-06-14T07:24:00Z,cardio,2
2023-06-14T07:25:00Z,cardio,2
2023-06-14T07:26:00Z,fat burn,1
2023-06-14T07:27:00Z,cardio,2
2023-06-14T07:28:00Z,cardio,2
2023-06-14T07:29:00Z,cardio,2
2023-06-14T07:30:00Z,cardio,2
2023-06-14T07:31:00Z,fat burn,1
2023-06-14T07:32:00Z,cardio,2
2023-06-14T07:33:00Z,cardio,2
2023-06-14T07:34:00Z,cardio,2
2023-06-14T07:35:00Z,cardio,2
2023-06-14T07:36:00Z,cardio,2
2023-06-14T07:37:00Z,cardio,2
2023-06-14T07:38:00Z,cardio,2
2023-06-14T07:39:00Z,cardio,2
2023-06-14T07:40:00Z,cardio,2
2023-06-14T07:41:00Z,cardio,2
2023-06-14T07:42:00Z,cardio,2
2023-06-14T07:43:00Z,fat burn,1
2023-06-14T07:44:00Z,fat burn,1
2023-06-14T07:45:00Z,fat burn,1
2023-06-14T07:46:00Z,cardio,2
2023-06-14T07:47:00Z,cardio,2
2023-06-14T07:48:00Z,fat burn,1
2023-06-14T07:49:00Z,cardio,2
2023-06-14T07:50:00Z,cardio,2
2023-06-14T07:51:00Z,cardio,2
2023-06-14T07:52:00Z,fat burn,1
2023-06-14T07:53:00Z,cardio,2
2023-06-14T07:54:00Z,cardio,2
2023-06-14T07:55:00Z,cardio,2
2023-06-14T07:56:00Z,fat burn,1
2023-06-14T07:57:00Z,fat burn,1
2023-06-14T07:58:00Z,fat burn,1
2023-06-14T07:59:00Z,fat burn,1
2023-06-14T08:00:00Z,fat burn,1
2023-06-14T08:01:00Z,fat burn,1
2023-06-14T08:02:00Z,fat burn,1
2023-06-14T08:03:00Z,fat burn,1
2023-06-14T08:04:00Z,fat burn,1
2023-06-14T08:05:00Z,fat burn,1
2023-06-14T08:06:00Z,fat burn,1
2023-06-14T08:07:00Z,fat burn,1
2023-06-14T08:08:00Z,fat burn,1
2023-06-14T08:09:00Z,fat burn,1
2023-06-14T08:10:00Z,fat burn,1
2023-06-14T08:18:00Z,fat burn,1
2023-06-14T08:19:00Z,fat burn,1
2023-06-14T08:20:00Z,fat burn,1
2023-06-14T08:21:00Z,fat burn,1
2023-06-14T08:22:00Z,fat burn,1
2023-06-14T08:23:00Z,fat burn,1
2023-06-14T08:24:00Z,fat burn,1
2023-06-14T08:25:00Z,fat burn,1
2023-06-14T08:26:00Z,fat burn,1
2023-06-14T08:27:00Z,fat burn,1
2023-06-14T08:28:00Z,fat burn,1
2023-06-14T08:29:00Z,fat burn,1
2023-06-14T08:30:00Z,fat burn,1
2023-06-14T08:31:00Z,fat burn,1
2023-06-14T08:32:00Z,fat burn,1
2023-06-15T00:23:00Z,cardio,2
2023-06-15T00:24:00Z,fat burn,1
2023-06-15T07:13:00Z,fat burn,1
2023-06-15T07:14:00Z,cardio,2
2023-06-15T07:15:00Z,cardio,2
2023-06-15T07:16:00Z,cardio,2
2023-06-15T07:17:00Z,fat burn,1
2023-06-15T07:18:00Z,cardio,2
2023-06-15T07:20:00Z,fat burn,1
2023-06-15T07:21:00Z,fat burn,1
2023-06-15T07:22:00Z,fat burn,1
2023-06-15T07:23:00Z,fat burn,1
2023-06-15T07:24:00Z,fat burn,1
2023-06-15T07:25:00Z,fat burn,1
2023-06-15T07:26:00Z,fat burn,1
2023-06-15T07:27:00Z,fat burn,1
2023-06-15T07:28:00Z,fat burn,1
2023-06-15T07:29:00Z,fat burn,1
2023-06-15T07:30:00Z,fat burn,1
2023-06-15T07:31:00Z,fat burn,1
2023-06-15T07:32:00Z,fat burn,1
2023-06-15T07:33:00Z,fat burn,1
2023-06-15T07:34:00Z,fat burn,1
2023-06-15T07:35:00Z,fat burn,1
2023-06-15T07:36:00Z,fat burn,1
2023-06-15T07:37:00Z,fat burn,1
2023-06-15T07:40:00Z,fat burn,1
2023-06-15T07:41:00Z,cardio,2
2023-06-15T07:42:00Z,fat burn,1
2023-06-15T07:43:00Z,fat burn,1
2023-06-15T07:44:00Z,fat burn,1
2023-06-15T07:45:00Z,fat burn,1
2023-06-15T07:46:00Z,fat burn,1
2023-06-15T07:47:00Z,fat burn,1
2023-06-15T07:48:00Z,fat burn,1
2023-06-15T07:49:00Z,fat burn,1
2023-06-15T07:50:00Z,fat burn,1
2023-06-15T07:51:00Z,fat burn,1
2023-06-15T07:52:00Z,fat burn,1
2023-06-15T07:53:00Z,fat burn,1
2023-06-15T07:54:00Z,fat burn,1
2023-06-15T07:55:00Z,fat burn,1
2023-06-15T07:56:00Z,fat burn,1
2023-06-15T07:57:00Z,fat burn,1
2023-06-15T07:58:00Z,fat burn,1
2023-06-15T07:59:00Z,fat burn,1
2023-06-15T08:00:00Z,fat burn,1
2023-06-15T08:01:00Z,fat burn,1
2023-06-15T08:02:00Z,fat burn,1
2023-06-15T08:03:00Z,fat burn,1
