timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage
2024-11-01T00:00:00Z,93.4,92.2,94.8,94.2,0.6
2024-11-02T00:00:00Z,93.8,92.8,94.7,94.2,0.6
2024-11-03T00:00:00Z,93.8,91.8,95.6,94.2,0.6
2024-11-05T00:00:00Z,94.1,92.8,96.0,94.2,0.6
2024-11-07T00:00:00Z,93.5,93.1,94.1,94.2,0.6
2024-11-08T00:00:00Z,94.3,93.0,95.6,94.2,0.5
2024-11-13T00:00:00Z,92.4,79.1,96.0,94.1,0.6
2024-11-19T00:00:00Z,94.3,92.2,96.4,94.1,0.6
2024-11-20T00:00:00Z,95.1,92.2,97.3,94.2,0.6
2024-11-23T00:00:00Z,94.7,93.8,96.5,94.2,0.6
2024-11-25T00:00:00Z,94.2,91.1,96.9,94.1,0.6
2024-11-26T00:00:00Z,94.2,92.5,96.0,94.1,0.6
2024-11-27T00:00:00Z,93.7,92.1,95.8,94.1,0.6
2024-11-29T00:00:00Z,94.8,92.2,97.4,94.1,0.6
2024-11-30T00:00:00Z,94.2,92.6,96.5,94.1,0.6
