timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds
2024-12-01T23:15:00Z,14.801,0.0
2024-12-01T23:20:00Z,14.53,0.0
2024-12-01T23:25:00Z,13.493,0.0
2024-12-01T23:30:00Z,16.498,0.0
2024-12-01T23:35:00Z,14.925,0.0
2024-12-01T23:40:00Z,21.138,0.0
2024-12-01T23:45:00Z,21.724,0.0
2024-12-01T23:50:00Z,23.946,0.0
2024-12-01T23:55:00Z,25.293,0.0
2024-12-02T00:00:00Z,24.683,0.0
2024-12-02T00:05:00Z,24.778,0.0
2024-12-02T00:10:00Z,27.821,0.0
2024-12-02T00:15:00Z,24.033,0.0
2024-12-02T00:20:00Z,24.958,0.0
2024-12-02T00:25:00Z,24.739,0.0
2024-12-02T00:30:00Z,17.402,0.0
2024-12-02T00:35:00Z,14.117,0.0
2024-12-02T00:40:00Z,13.721,0.0
2024-12-02T00:45:00Z,14.114,0.0
2024-12-02T00:50:00Z,15.829,0.0
2024-12-02T00:55:00Z,15.734,0.0
2024-12-02T01:00:00Z,14.982,0.0
2024-12-02T01:05:00Z,14.982,0.0
2024-12-02T01:10:00Z,15.193,0.0
2024-12-02T01:15:00Z,14.186,0.0
2024-12-02T01:20:00Z,25.352,0.0
2024-12-02T01:25:00Z,14.725,0.0
2024-12-02T01:30:00Z,13.378,0.0
2024-12-02T01:35:00Z,12.396,0.0
2024-12-02T01:40:00Z,19.815,0.0
2024-12-02T01:45:00Z,18.202,0.0
2024-12-02T01:50:00Z,20.812,0.0
2024-12-02T01:55:00Z,19.441,0.0
2024-12-02T02:00:00Z,14.655,0.0
2024-12-02T02:05:00Z,9.266,0.0
2024-12-02T02:10:00Z,8.97,0.0
2024-12-02T02:15:00Z,10.344,0.0
2024-12-02T02:20:00Z,10.579,0.0
2024-12-02T02:25:00Z,13.781,0.0
2024-12-02T02:30:00Z,12.648,0.0
2024-12-02T02:35:00Z,12.298,0.0
2024-12-02T02:40:00Z,16.608,0.0
2024-12-03T22:10:00Z,38.128,0.0
2024-12-03T22:15:00Z,47.818,0.0
2024-12-03T22:20:00Z,42.833,0.0
2024-12-03T22:25:00Z,37.42,0.0
2024-12-03T22:30:00Z,39.244,0.0
2024-12-03T22:35:00Z,39.951,0.0
2024-12-03T22:40:00Z,35.608,0.0
2024-12-03T22:45:00Z,36.001,0.0
2024-12-03T22:50:00Z,39.67,0.0
2024-12-03T22:55:00Z,37.91,0.0
2024-12-03T23:00:00Z,36.524,0.0
2024-12-03T23:05:00Z,34.187,0.0
2024-12-03T23:10:00Z,40.089,0.0
2024-12-03T23:15:00Z,42.557,0.0
2024-12-03T23:20:00Z,41.672,0.0
2024-12-03T23:30:00Z,35.123,0.0
2024-12-03T23:35:00Z,37.783,0.0
2024-12-03T23:40:00Z,42.144,0.0
2024-12-03T23:45:00Z,34.393,0.0
2024-12-03T23:50:00Z,32.678,0.0
2024-12-03T23:55:00Z,32.113,0.0
2024-12-04T00:00:00Z,14.019,0.0
2024-12-04T00:05:00Z,14.091,0.0
2024-12-04T00:10:00Z,18.534,0.0
2024-12-04T00:15:00Z,24.287,0.0
2024-12-04T00:20:00Z,30.404,0.0
2024-12-04T00:25:00Z,27.126,0.0
2024-12-04T00:30:00Z,21.32,0.0
2024-12-04T00:35:00Z,22.765,0.0
2024-12-04T00:40:00Z,26.633,0.0
2024-12-04T00:45:00Z,37.809,0.0
2024-12-04T00:50:00Z,38.062,0.0
2024-12-04T00:55:00Z,39.813,0.0
2024-12-04T01:00:00Z,49.708,0.0
2024-12-04T01:05:00Z,47.039,0.0
2024-12-04T01:10:00Z,50.416,0.0
2024-12-04T01:15:00Z,60.711,0.0
2024-12-04T01:20:00Z,43.59,0.0
2024-12-04T01:30:00Z,60.215,0.0
2024-12-04T01:35:00Z,58.433,0.0
2024-12-04T01:40:00Z,74.867,0.0
2024-12-04T01:45:00Z,64.846,0.0
2024-12-04T01:55:00Z,49.154,0.0
2024-12-04T02:00:00Z,43.424,0.0
2024-12-04T02:05:00Z,38.524,0.0
2024-12-04T02:10:00Z,37.027,0.0
2024-12-04T02:15:00Z,41.134,0.0
2024-12-04T02:20:00Z,49.653,0.0
2024-12-04T02:25:00Z,18.907,0.0
2024-12-04T02:30:00Z,29.049,0.0
2024-12-04T02:35:00Z,18.199,0.0
2024-12-04T02:40:00Z,35.716,0.0
2024-12-04T02:45:00Z,38.317,0.0
2024-12-04T02:50:00Z,28.192,0.0
2024-12-04T02:55:00Z,26.9,0.0
2024-12-04T03:00:00Z,29.346,0.0
2024-12-04T03:05:00Z,31.453,0.0
2024-12-04T03:10:00Z,50.864,0.0
2024-12-04T03:15:00Z,40.64,0.0
2024-12-04T03:20:00Z,38.026,0.0
2024-12-04T03:25:00Z,36.311,0.0
2024-12-04T03:30:00Z,33.909,0.0
2024-12-04T03:35:00Z,42.235,0.0
2024-12-04T03:40:00Z,32.64,0.0
2024-12-04T03:45:00Z,22.691,0.0
2024-12-04T03:50:00Z,23.333,0.0
2024-12-04T03:55:00Z,47.278,0.0
2024-12-04T04:00:00Z,33.935,0.0
2024-12-04T04:10:00Z,27.813,0.0
2024-12-04T04:15:00Z,38.053,0.0
2024-12-04T04:20:00Z,32.048,0.0
2024-12-04T04:25:00Z,36.078,0.0
2024-12-04T04:30:00Z,33.595,0.0
2024-12-04T04:35:00Z,35.171,0.0
2024-12-04T04:40:00Z,34.155,0.0
2024-12-04T22:20:00Z,47.514,0.0
2024-12-04T22:25:00Z,48.722,0.0
2024-12-04T22:30:00Z,63.919,0.0
2024-12-04T22:35:00Z,70.1,0.0
2024-12-04T22:40:00Z,66.208,0.0
2024-12-04T22:45:00Z,74.623,0.0
2024-12-04T22:50:00Z,61.016,0.0
2024-12-04T22:55:00Z,70.025,0.0
2024-12-04T23:00:00Z,77.905,0.0
2024-12-04T23:05:00Z,76.594,0.0
2024-12-04T23:10:00Z,80.001,0.0
2024-12-04T23:15:00Z,83.158,0.0
2024-12-04T23:20:00Z,83.87,0.0
2024-12-04T23:25:00Z,38.839,0.0
2024-12-04T23:30:00Z,25.938,0.0
2024-12-04T23:35:00Z,42.792,0.0
2024-12-04T23:40:00Z,47.795,0.0
2024-12-04T23:45:00Z,58.523,0.0
2024-12-04T23:50:00Z,59.946,0.0
2024-12-04T23:55:00Z,56.756,0.0
2024-12-05T00:00:00Z,62.638,0.0
2024-12-05T00:05:00Z,58.23,0.0
2024-12-05T00:10:00Z,63.853,0.0
2024-12-05T00:15:00Z,66.05,0.0
2024-12-05T00:20:00Z,82.747,0.0
2024-12-05T00:25:00Z,63.395,0.0
2024-12-05T00:30:00Z,53.063,0.0
2024-12-05T00:35:00Z,52.889,0.0
2024-12-05T00:40:00Z,64.044,0.0
2024-12-05T00:45:00Z,65.199,0.0
2024-12-05T00:50:00Z,53.856,0.0
2024-12-05T00:55:00Z,47.649,0.0
2024-12-05T01:00:00Z,33.601,0.0
2024-12-05T01:05:00Z,24.733,0.0
2024-12-05T01:10:00Z,38.946,0.0
2024-12-05T01:15:00Z,25.925,0.0
2024-12-05T01:20:00Z,21.23,0.0
2024-12-05T01:25:00Z,31.857,0.0
2024-12-05T01:30:00Z,38.341,0.0
2024-12-05T01:35:00Z,52.086,0.0
2024-12-05T01:40:00Z,48.852,0.0
2024-12-05T01:45:00Z,49.119,0.0
2024-12-05T01:50:00Z,62.545,0.0
2024-12-05T02:10:00Z,41.917,0.0
2024-12-05T02:15:00Z,38.769,0.0
2024-12-05T02:20:00Z,41.231,0.0
2024-12-05T02:25:00Z,40.904,0.0
2024-12-05T02:30:00Z,55.146,0.0
2024-12-05T02:35:00Z,65.369,0.0
2024-12-05T02:40:00Z,54.244,0.0
2024-12-05T02:45:00Z,51.358,0.0
2024-12-05T02:50:00Z,42.124,0.0
2024-12-05T02:55:00Z,50.066,0.0
2024-12-05T03:00:00Z,62.259,0.0
2024-12-05T03:10:00Z,28.768,0.0
2024-12-05T03:15:00Z,27.96,0.0
2024-12-05T03:20:00Z,26.395,0.0
2024-12-05T03:25:00Z,39.023,0.0
2024-12-05T03:30:00Z,36.487,0.0
2024-12-05T03:35:00Z,41.647,0.0
2024-12-05T03:40:00Z,44.785,0.0
2024-12-05T03:45:00Z,43.451,0.0
2024-12-05T03:50:00Z,54.279,0.0
2024-12-05T03:55:00Z,59.925,0.0
2024-12-05T04:00:00Z,69.95,0.0
2024-12-05T04:05:00Z,63.942,0.0
2024-12-05T04:10:00Z,63.833,0.0
2024-12-05T04:15:00Z,66.624,0.0
2024-12-05T04:20:00Z,63.873,0.0
2024-12-05T04:25:00Z,61.171,0.0
2024-12-05T04:30:00Z,71.811,0.0
2024-12-05T04:35:00Z,71.636,0.0
2024-12-05T04:40:00Z,76.509,0.0
2024-12-05T04:45:00Z,50.135,0.0
2024-12-05T04:50:00Z,43.431,0.0
2024-12-06T22:30:00Z,38.98,0.0
2024-12-06T22:35:00Z,42.695,0.0
2024-12-06T22:40:00Z,43.861,0.0
2024-12-06T22:45:00Z,42.778,0.0
2024-12-06T22:50:00Z,39.968,0.0
2024-12-06T22:55:00Z,34.306,0.0
2024-12-06T23:00:00Z,32.009,0.0
2024-12-06T23:05:00Z,32.88,0.0
2024-12-06T23:10:00Z,34.702,0.0
2024-12-06T23:15:00Z,32.056,0.0
2024-12-06T23:20:00Z,40.686,0.0
2024-12-06T23:25:00Z,25.018,0.0
2024-12-06T23:30:00Z,14.989,0.0
2024-12-06T23:35:00Z,17.671,0.0
2024-12-06T23:40:00Z,19.285,0.0
2024-12-06T23:45:00Z,21.322,0.0
2024-12-06T23:50:00Z,25.079,0.0
2024-12-06T23:55:00Z,34.202,0.0
2024-12-07T00:00:00Z,40.28,0.0
2024-12-07T00:05:00Z,39.14,0.0
2024-12-07T00:10:00Z,35.513,0.0
2024-12-07T00:15:00Z,40.224,0.0
2024-12-07T00:20:00Z,36.17,0.0
