timestamp,steps,distance millimeters,altitude gain millimeters
2025-05-29T00:00:00Z,0,0,0
2025-05-29T00:01:43Z,0,0,0
2025-05-29T00:04:04Z,0,0,0
2025-05-29T00:04:05Z,0,0,0
2025-05-29T00:04:06Z,0,0,0
2025-05-29T00:04:07Z,0,0,0
2025-05-29T00:04:08Z,0,0,0
2025-05-29T00:04:09Z,0,0,0
2025-05-29T00:04:10Z,0,0,0
2025-05-29T00:04:11Z,0,0,0
2025-05-29T00:04:12Z,0,0,0
2025-05-29T00:04:13Z,0,0,0
2025-05-29T00:04:14Z,0,0,0
2025-05-29T00:04:15Z,0,0,0
2025-05-29T00:04:16Z,0,0,0
2025-05-29T00:04:17Z,0,0,0
2025-05-29T00:04:18Z,0,0,0
2025-05-29T00:04:19Z,0,0,0
2025-05-29T00:04:30Z,0,0,0
2025-05-29T00:04:31Z,0,0,0
2025-05-29T00:04:32Z,0,0,0
2025-05-29T00:04:33Z,0,0,0
2025-05-29T00:04:34Z,0,0,0
2025-05-29T00:04:35Z,0,5600,0
2025-05-29T00:04:36Z,0,2100,0
2025-05-29T00:04:37Z,0,1380,0
2025-05-29T00:04:38Z,0,1400,0
2025-05-29T00:04:39Z,0,1400,0
2025-05-29T00:04:40Z,0,1400,0
2025-05-29T00:04:41Z,0,1400,0
2025-05-29T00:04:42Z,0,1400,0
2025-05-29T00:04:43Z,0,1400,0
2025-05-29T00:04:44Z,0,0,0
2025-05-29T00:04:45Z,0,1400,0
2025-05-29T00:04:46Z,0,2840,0
2025-05-29T00:04:47Z,0,2120,0
2025-05-29T00:04:48Z,0,1420,0
2025-05-29T00:04:49Z,0,1400,0
2025-05-29T00:04:50Z,0,1420,0
2025-05-29T00:04:51Z,0,1400,0
2025-05-29T00:04:52Z,0,700,0
2025-05-29T00:04:53Z,0,1400,0
2025-05-29T00:04:54Z,0,1380,0
2025-05-29T00:04:55Z,0,700,0
2025-05-29T00:04:56Z,0,1330,0
2025-05-29T00:04:57Z,0,1310,0
2025-05-29T00:04:58Z,0,2000,0
2025-05-29T00:04:59Z,0,1350,0
2025-05-29T00:05:00Z,0,660,0
2025-05-29T00:05:01Z,0,1320,0
2025-05-29T00:05:02Z,0,1350,0
2025-05-29T00:05:03Z,0,670,0
2025-05-29T00:05:04Z,0,1300,0
2025-05-29T00:05:05Z,0,650,0
2025-05-29T00:05:06Z,0,640,0
2025-05-29T00:05:07Z,0,0,0
2025-05-29T00:05:08Z,0,0,0
2025-05-29T00:05:09Z,0,0,0
2025-05-29T00:05:55Z,0,2920,0
2025-05-29T00:05:56Z,0,4320,0
2025-05-29T00:05:57Z,0,1570,0
2025-05-29T00:05:58Z,0,0,0
2025-05-29T00:05:59Z,0,0,0
2025-05-29T00:06:00Z,0,1440,0
2025-05-29T00:06:01Z,0,2580,0
2025-05-29T00:06:02Z,0,1350,0
2025-05-29T00:06:03Z,0,0,0
2025-05-29T00:06:04Z,0,2010,0
2025-05-29T00:06:05Z,0,660,0
2025-05-29T00:06:06Z,0,0,0
2025-05-29T00:06:07Z,0,0,0
2025-05-29T00:06:08Z,0,0,0
2025-05-29T00:06:16Z,0,730,0
2025-05-29T00:06:17Z,0,4160,0
2025-05-29T00:06:18Z,0,680,0
2025-05-29T00:06:19Z,0,1330,0
2025-05-29T00:06:20Z,0,1350,0
2025-05-29T00:06:21Z,0,0,0
2025-05-29T00:06:22Z,0,0,0
2025-05-29T00:06:23Z,0,0,0
2025-05-29T00:06:34Z,0,2920,0
2025-05-29T00:06:35Z,0,760,0
2025-05-29T00:06:36Z,0,0,0
2025-05-29T00:06:37Z,0,1990,0
2025-05-29T00:06:38Z,0,0,0
2025-05-29T00:06:39Z,0,2400,0
2025-05-29T00:06:40Z,0,1340,0
2025-05-29T00:06:41Z,0,2160,0
2025-05-29T00:06:42Z,0,0,0
2025-05-29T00:06:43Z,0,0,0
2025-05-29T00:06:44Z,0,0,0
2025-05-29T00:06:50Z,0,3560,0
2025-05-29T00:06:51Z,0,1220,0
2025-05-29T00:06:52Z,0,1240,0
2025-05-29T00:06:53Z,0,1280,0
2025-05-29T00:06:54Z,0,0,0
2025-05-29T00:06:55Z,0,0,0
2025-05-29T00:06:56Z,0,0,0
2025-05-29T00:06:57Z,0,730,0
2025-05-29T00:06:58Z,0,5050,0
2025-05-29T00:06:59Z,0,0,0
2025-05-29T00:07:00Z,0,2200,0
2025-05-29T00:07:01Z,0,2330,0
2025-05-29T00:07:02Z,0,1370,0
2025-05-29T00:07:03Z,0,660,0
2025-05-29T00:07:06Z,0,0,0
2025-05-29T00:09:03Z,0,4920,0
2025-05-29T00:09:04Z,0,700,0
2025-05-29T00:09:05Z,0,640,0
2025-05-29T00:09:06Z,0,1280,0
2025-05-29T00:09:07Z,0,0,0
2025-05-29T00:09:08Z,0,0,0
2025-05-29T00:09:09Z,0,0,0
2025-05-29T00:09:30Z,0,3540,0
2025-05-29T00:09:31Z,0,0,0
2025-05-29T00:09:32Z,0,2550,0
2025-05-29T00:09:33Z,0,640,0
2025-05-29T00:09:34Z,0,1360,0
2025-05-29T00:09:35Z,0,670,0
2025-05-29T00:09:36Z,0,1350,0
2025-05-29T00:09:37Z,0,2050,0
2025-05-29T00:09:38Z,0,700,0
2025-05-29T00:09:39Z,0,1420,0
2025-05-29T00:09:40Z,0,1340,0
2025-05-29T00:09:41Z,0,0,0
2025-05-29T00:09:42Z,0,610,0
2025-05-29T00:09:43Z,0,1780,0
2025-05-29T00:09:46Z,0,0,0
2025-05-29T00:09:59Z,0,0,0
2025-05-29T00:10:00Z,0,0,0
2025-05-29T00:10:01Z,0,0,0
2025-05-29T00:10:02Z,0,0,0
2025-05-29T00:10:32Z,0,4320,0
2025-05-29T00:10:33Z,0,700,0
2025-05-29T00:10:34Z,0,700,0
2025-05-29T00:10:35Z,0,620,0
2025-05-29T00:10:36Z,0,1240,0
2025-05-29T00:10:37Z,0,0,0
2025-05-29T00:10:38Z,0,1870,0
2025-05-29T00:10:39Z,0,590,0
2025-05-29T00:10:40Z,0,590,0
2025-05-29T00:10:41Z,0,610,0
2025-05-29T00:10:42Z,0,2470,0
2025-05-29T00:10:43Z,0,1400,0
2025-05-29T00:10:44Z,0,670,0
2025-05-29T00:10:45Z,0,0,0
2025-05-29T00:10:46Z,0,0,0
2025-05-29T00:10:47Z,0,0,0
2025-05-29T00:10:48Z,0,2190,0
2025-05-29T00:10:49Z,0,730,0
2025-05-29T00:10:50Z,0,1190,0
2025-05-29T00:10:51Z,0,1240,0
2025-05-29T00:10:52Z,0,1480,0
2025-05-29T00:10:53Z,0,1380,0
2025-05-29T00:10:54Z,0,630,0
2025-05-29T00:10:55Z,0,1240,0
2025-05-29T00:10:56Z,0,0,0
2025-05-29T00:10:57Z,0,0,0
2025-05-29T00:10:58Z,0,0,0
2025-05-29T00:11:33Z,0,0,0
2025-05-29T00:11:34Z,0,0,0
2025-05-29T00:11:35Z,0,0,0
2025-05-29T00:11:36Z,0,0,0
2025-05-29T00:11:37Z,0,0,0
2025-05-29T00:11:38Z,0,0,0
2025-05-29T00:11:39Z,0,0,0
2025-05-29T00:11:40Z,0,0,0
2025-05-29T00:18:26Z,0,6440,0
2025-05-29T00:18:27Z,0,0,0
2025-05-29T00:18:28Z,0,1530,0
2025-05-29T00:18:29Z,0,0,0
2025-05-29T00:18:30Z,0,0,0
2025-05-29T00:18:31Z,0,0,0
2025-05-29T00:19:54Z,0,4990,0
2025-05-29T00:19:55Z,0,0,0
2025-05-29T00:19:56Z,0,0,0
2025-05-29T00:19:57Z,0,0,0
2025-05-29T00:20:54Z,0,4210,0
2025-05-29T00:20:55Z,0,1290,0
2025-05-29T00:20:56Z,0,1280,0
2025-05-29T00:20:57Z,0,640,0
2025-05-29T00:20:58Z,0,1280,0
2025-05-29T00:20:59Z,0,0,0
2025-05-29T00:21:00Z,0,1200,0
2025-05-29T00:21:01Z,0,640,0
2025-05-29T00:21:02Z,0,2130,0
2025-05-29T00:21:03Z,0,2180,0
2025-05-29T00:21:04Z,0,1460,0
2025-05-29T00:21:05Z,0,1420,0
2025-05-29T00:21:06Z,0,0,0
2025-05-29T00:21:07Z,0,0,0
2025-05-29T00:21:08Z,0,0,0
