timestamp,oxygen saturation percentage
2024-12-02T05:13:20Z,93.8
2024-12-02T05:14:20Z,94.1
2024-12-02T05:15:20Z,94.3
2024-12-02T05:16:20Z,94.5
2024-12-02T05:17:20Z,94.7
2024-12-02T05:18:20Z,94.8
2024-12-02T05:19:20Z,95.1
2024-12-02T05:20:20Z,95.2
2024-12-02T05:21:20Z,95.3
2024-12-02T05:22:20Z,95.1
2024-12-02T05:23:20Z,94.9
2024-12-02T05:24:20Z,94.7
2024-12-02T05:25:20Z,94.7
2024-12-02T05:26:20Z,94.6
2024-12-02T05:27:20Z,94.4
2024-12-02T05:28:20Z,94.4
2024-12-02T05:29:20Z,94.3
2024-12-02T05:30:20Z,94.3
2024-12-02T05:31:20Z,94.4
2024-12-02T05:32:20Z,94.4
2024-12-02T05:33:20Z,94.2
2024-12-02T05:34:20Z,94.2
2024-12-02T05:35:20Z,94.1
2024-12-02T05:36:20Z,94.0
2024-12-02T05:37:20Z,94.0
2024-12-02T05:38:20Z,94.3
2024-12-02T05:39:20Z,94.5
2024-12-02T05:41:20Z,94.4
2024-12-02T05:42:20Z,93.5
2024-12-02T05:43:20Z,93.2
2024-12-02T05:44:20Z,92.8
2024-12-02T05:48:20Z,92.7
2024-12-02T05:49:20Z,92.8
2024-12-02T05:50:20Z,92.9
2024-12-02T05:51:20Z,92.8
2024-12-02T05:52:20Z,92.9
2024-12-02T05:53:20Z,92.8
2024-12-02T05:54:20Z,92.9
2024-12-02T05:55:20Z,93.0
2024-12-02T05:56:20Z,93.0
2024-12-02T05:57:20Z,92.6
2024-12-02T05:58:20Z,92.6
2024-12-02T05:59:20Z,92.5
2024-12-02T06:00:20Z,92.3
2024-12-02T06:01:20Z,92.1
2024-12-02T06:02:20Z,92.1
2024-12-02T06:03:20Z,91.9
2024-12-02T06:05:20Z,92.2
2024-12-02T06:06:20Z,92.3
2024-12-02T06:07:20Z,92.4
2024-12-02T06:08:20Z,92.6
2024-12-02T06:09:20Z,92.6
2024-12-02T06:10:20Z,92.7
2024-12-02T06:12:20Z,92.7
2024-12-02T06:13:20Z,93.0
2024-12-02T06:14:20Z,92.8
2024-12-02T06:16:20Z,93.0
2024-12-02T06:19:20Z,93.1
2024-12-02T06:20:20Z,93.6
2024-12-02T06:21:20Z,93.4
2024-12-02T06:22:20Z,93.5
2024-12-02T06:23:20Z,93.5
2024-12-02T06:24:20Z,93.5
2024-12-02T06:25:20Z,93.7
2024-12-02T06:26:20Z,93.5
2024-12-02T06:27:20Z,93.0
2024-12-02T06:28:20Z,93.1
2024-12-02T06:29:20Z,93.1
2024-12-02T06:30:20Z,93.6
2024-12-02T06:31:20Z,93.7
2024-12-02T06:32:20Z,93.5
2024-12-02T06:33:20Z,92.8
2024-12-02T06:34:20Z,93.1
2024-12-02T06:35:20Z,92.9
2024-12-02T06:36:20Z,92.8
2024-12-02T06:37:20Z,92.7
2024-12-02T06:38:20Z,93.0
2024-12-02T06:40:20Z,92.9
2024-12-02T06:41:20Z,93.0
2024-12-02T06:43:20Z,92.2
2024-12-02T06:44:20Z,92.4
2024-12-02T06:46:20Z,92.8
2024-12-02T06:47:20Z,92.9
2024-12-02T06:48:20Z,93.1
2024-12-02T06:49:20Z,93.1
