body_response_start,body_response_end,logged_mood
2023-11-08T18:42:00.000+07:00,2023-11-08T18:45:00.000+07:00,no mood logged
2023-11-08T18:53:00.000+07:00,2023-11-08T18:56:00.000+07:00,no mood logged
2023-11-08T22:08:00.000+07:00,2023-11-08T22:11:00.000+07:00,no mood logged
2023-11-09T21:45:00.000+07:00,2023-11-09T21:54:00.000+07:00,no mood logged
2023-11-09T22:43:00.000+07:00,2023-11-09T22:52:00.000+07:00,no mood logged
2023-11-09T22:59:00.000+07:00,2023-11-09T23:02:00.000+07:00,no mood logged
2023-11-10T15:26:00.000+07:00,2023-11-10T15:29:00.000+07:00,no mood logged
2023-11-10T18:46:00.000+07:00,2023-11-10T18:53:00.000+07:00,no mood logged
2023-11-11T09:44:01.000+07:00,2023-11-11T09:51:00.000+07:00,no mood logged
2023-11-11T18:26:00.000+07:00,2023-11-11T18:29:00.000+07:00,no mood logged
2023-11-11T19:38:00.000+07:00,2023-11-11T19:43:00.000+07:00,no mood logged
2023-11-11T21:28:00.000+07:00,2023-11-11T21:33:00.000+07:00,no mood logged
2023-11-12T08:00:00.000+07:00,2023-11-12T08:07:00.000+07:00,no mood logged
2023-11-12T08:33:00.000+07:00,2023-11-12T08:38:00.000+07:00,no mood logged
2023-11-12T09:57:01.000+07:00,2023-11-12T10:07:00.000+07:00,no mood logged
2023-11-12T12:31:00.000+07:00,2023-11-12T12:38:00.000+07:00,no mood logged
2023-11-12T15:52:00.000+07:00,2023-11-12T15:55:00.000+07:00,no mood logged
2023-11-13T08:47:00.000+07:00,2023-11-13T09:07:00.000+07:00,no mood logged
2023-11-13T10:18:00.000+07:00,2023-11-13T10:22:00.000+07:00,no mood logged
2023-11-13T12:18:01.000+07:00,2023-11-13T12:39:00.000+07:00,no mood logged
2023-11-13T19:50:00.000+07:00,2023-11-13T19:57:00.000+07:00,no mood logged
2023-11-13T20:30:00.000+07:00,2023-11-13T20:36:00.000+07:00,no mood logged
2023-11-13T23:02:00.000+07:00,2023-11-13T23:12:00.000+07:00,no mood logged
2023-11-13T23:21:00.000+07:00,2023-11-13T23:27:00.000+07:00,no mood logged
2023-11-14T17:43:00.000+07:00,2023-11-14T17:47:00.000+07:00,no mood logged
2023-11-14T17:58:00.000+07:00,2023-11-14T18:07:00.000+07:00,no mood logged
2023-11-15T08:34:00.000+07:00,2023-11-15T08:39:00.000+07:00,no mood logged
2023-11-15T09:05:00.000+07:00,2023-11-15T09:14:00.000+07:00,no mood logged
2023-11-15T09:44:00.000+07:00,2023-11-15T09:53:00.000+07:00,no mood logged
2023-11-15T18:56:00.000+07:00,2023-11-15T19:07:00.000+07:00,no mood logged
2023-11-15T19:39:00.000+07:00,2023-11-15T19:55:00.000+07:00,no mood logged
2023-11-16T07:55:00.000+07:00,2023-11-16T07:58:00.000+07:00,no mood logged
2023-11-16T12:04:00.000+07:00,2023-11-16T12:10:00.000+07:00,no mood logged
2023-11-16T18:18:00.000+07:00,2023-11-16T18:36:00.000+07:00,no mood logged
2023-11-17T11:03:00.000+07:00,2023-11-17T11:12:00.000+07:00,no mood logged
2023-11-17T22:16:00.000+07:00,2023-11-17T22:21:00.000+07:00,no mood logged
2023-11-18T09:12:00.000+07:00,2023-11-18T09:21:00.000+07:00,no mood logged
2023-11-18T09:29:00.000+07:00,2023-11-18T09:36:00.000+07:00,no mood logged
2023-11-18T10:22:00.000+07:00,2023-11-18T10:25:00.000+07:00,no mood logged
2023-11-18T12:37:00.000+07:00,2023-11-18T12:47:00.000+07:00,no mood logged
2023-11-18T18:26:00.000+07:00,2023-11-18T18:31:00.000+07:00,no mood logged
2023-11-19T09:06:00.000+07:00,2023-11-19T09:12:00.000+07:00,no mood logged
2023-11-19T11:46:00.000+07:00,2023-11-19T11:50:00.000+07:00,no mood logged
2023-11-19T12:20:00.000+07:00,2023-11-19T12:32:00.000+07:00,no mood logged
2023-11-20T14:13:00.000+07:00,2023-11-20T14:16:00.000+07:00,no mood logged
2023-11-20T14:26:00.000+07:00,2023-11-20T14:32:01.000+07:00,no mood logged
2023-11-20T14:56:00.000+07:00,2023-11-20T14:59:00.000+07:00,no mood logged
2023-11-20T15:37:00.000+07:00,2023-11-20T15:41:00.000+07:00,no mood logged
2023-11-21T07:56:01.000+07:00,2023-11-21T07:59:01.000+07:00,no mood logged
2023-11-21T10:43:00.000+07:00,2023-11-21T10:48:00.000+07:00,no mood logged
2023-11-21T10:57:00.000+07:00,2023-11-21T11:00:00.000+07:00,no mood logged
2023-11-21T12:30:00.000+07:00,2023-11-21T12:47:00.000+07:00,no mood logged
2023-11-21T14:04:00.000+07:00,2023-11-21T14:11:00.000+07:00,no mood logged
2023-11-22T13:20:00.000+07:00,2023-11-22T13:26:00.000+07:00,no mood logged
2023-11-22T16:41:00.000+07:00,2023-11-22T16:44:00.000+07:00,no mood logged
2023-11-22T19:06:00.000+07:00,2023-11-22T19:12:00.000+07:00,no mood logged
2023-11-23T08:16:00.000+07:00,2023-11-23T08:34:00.000+07:00,no mood logged
2023-11-24T08:26:00.000+07:00,2023-11-24T08:37:00.000+07:00,no mood logged
2023-11-24T10:46:00.000+07:00,2023-11-24T10:49:00.000+07:00,no mood logged
2023-12-15T08:52:00.000+07:00,2023-12-15T08:59:00.000+07:00,no mood logged
2023-12-15T18:52:00.000+07:00,2023-12-15T18:58:00.000+07:00,no mood logged
2023-12-15T19:09:00.000+07:00,2023-12-15T19:15:00.000+07:00,no mood logged
2023-12-16T08:49:00.000+07:00,2023-12-16T08:54:00.000+07:00,no mood logged
2023-12-16T09:19:00.000+07:00,2023-12-16T09:26:00.000+07:00,no mood logged
2023-12-16T10:11:00.000+07:00,2023-12-16T10:14:00.000+07:00,no mood logged
2023-12-16T11:11:00.000+07:00,2023-12-16T11:19:00.000+07:00,no mood logged
2023-12-16T22:00:00.000+07:00,2023-12-16T22:03:01.000+07:00,no mood logged
2023-12-17T10:59:00.000+07:00,2023-12-17T11:10:00.000+07:00,no mood logged
2023-12-17T12:27:00.000+07:00,2023-12-17T12:34:00.000+07:00,no mood logged
2023-12-17T13:27:00.000+07:00,2023-12-17T13:30:01.000+07:00,no mood logged
2023-12-17T13:40:00.000+07:00,2023-12-17T13:46:00.000+07:00,no mood logged
2023-12-17T16:07:00.000+07:00,2023-12-17T16:12:00.000+07:00,no mood logged
2023-12-17T18:51:00.000+07:00,2023-12-17T18:54:01.000+07:00,no mood logged
2023-12-17T20:36:00.000+07:00,2023-12-17T20:47:00.000+07:00,no mood logged
2023-12-17T21:39:00.000+07:00,2023-12-17T21:42:00.000+07:00,no mood logged
2023-12-18T07:57:00.000+07:00,2023-12-18T08:01:00.000+07:00,no mood logged
2023-12-18T08:37:00.000+07:00,2023-12-18T08:40:00.000+07:00,no mood logged
2023-12-18T12:30:00.000+07:00,2023-12-18T12:42:00.000+07:00,no mood logged
2023-12-18T14:03:00.000+07:00,2023-12-18T14:07:00.000+07:00,no mood logged
2023-12-18T20:13:01.000+07:00,2023-12-18T20:23:00.000+07:00,no mood logged
2023-12-18T21:45:00.000+07:00,2023-12-18T21:48:00.000+07:00,no mood logged
