DATE,UPDATED_AT,STRESS_SCORE,SLEEP_POINTS,MAX_SLEEP_POINTS,RESPONSIVENESS_POINTS,MAX_RESPONSIVENESS_POINTS,EXERTION_POINTS,MAX_EXERTION_POINTS,STATUS,CALCULATION_FAILED
2024-01-03T00:00:00,2024-01-03T20:01:00.27,0,0,0,0,0,0,0,NO_DATA,true
2024-03-06T00:00:00,2024-03-06T09:15:39.368,0,0,0,0,0,0,0,NO_DATA,true
2024-04-29T00:00:00,2024-04-29T20:14:21.464,0,0,0,0,0,0,0,NO_DATA,true
2024-05-04T00:00:00,2024-05-04T23:09:35.211,0,0,0,0,0,0,0,NO_DATA,true
2024-05-11T00:00:00,2024-05-11T05:52:02.167,0,0,0,0,0,0,0,NO_DATA,true
2024-05-19T00:00:00,2024-05-19T20:07:51.092,0,0,0,0,0,0,0,NO_DATA,true
2024-06-02T00:00:00,2024-06-02T21:54:21.021,0,0,0,0,0,0,0,NO_DATA,true
2024-09-12T00:00:00,2024-09-12T09:45:15.891,0,0,0,0,0,0,0,NO_DATA,true
2024-09-13T00:00:00,2024-09-13T18:31:35.304,67,16,30,19,30,32,40,READY,false
2024-09-14T00:00:00,2024-09-14T21:44:57.528,61,14,30,15,30,32,40,READY,false
2024-09-15T00:00:00,2024-09-15T21:43:52.034,71,17,30,24,30,30,40,READY,false
2024-09-16T00:00:00,2024-09-16T10:12:22.772,63,19,30,15,30,29,40,READY,false
2024-09-17T00:00:00,2024-09-17T09:53:46.011,68,19,30,16,30,33,40,READY,false
2024-09-19T00:00:00,2024-09-19T10:00:11.066,78,19,30,26,30,33,40,READY,false
2024-09-20T00:00:00,2024-09-20T09:55:54.671,78,21,30,24,30,33,40,READY,false
2024-09-22T00:00:00,2024-09-22T18:55:31.056,0,0,0,0,0,0,0,NO_DATA,true
2024-09-23T00:00:00,2024-09-23T09:20:05.885,0,0,0,0,0,0,0,NO_DATA,true
2024-09-24T00:00:00,2024-09-24T09:45:29.199,70,18,30,21,30,31,40,READY,false
2024-09-25T00:00:00,2024-09-25T10:00:05.765,72,18,30,24,30,30,40,READY,false
2024-09-26T00:00:00,2024-09-26T09:45:18.144,68,20,30,16,30,32,40,READY,false
2024-09-27T00:00:00,2024-09-27T09:53:36.153,71,17,30,18,30,36,40,READY,false
2024-09-28T00:00:00,2024-09-28T09:19:48.927,73,19,30,21,30,33,40,READY,false
2024-09-29T00:00:00,2024-09-29T11:04:45.432,73,23,30,18,30,32,40,READY,false
2024-10-01T00:00:00,2024-10-01T09:30:17.487,77,17,30,28,30,32,40,READY,false
2024-10-02T00:00:00,2024-10-02T09:45:12.209,78,19,30,27,30,32,40,READY,false
2024-10-03T00:00:00,2024-10-03T09:25:29.451,69,16,30,21,30,32,40,READY,false
2024-10-04T00:00:00,2024-10-04T09:52:29.829,74,19,30,24,30,31,40,READY,false
2024-10-05T00:00:00,2024-10-05T21:02:55.504,69,18,30,19,30,32,40,READY,false
2024-10-06T00:00:00,2024-10-06T21:49:34.119,0,0,0,0,0,0,0,NO_DATA,true
2024-10-07T00:00:00,2024-10-07T09:45:28.872,0,0,0,0,0,0,0,NO_DATA,true
2024-10-08T00:00:00,2024-10-08T09:45:44.038,72,17,30,24,30,31,40,READY,false
2024-10-09T00:00:00,2024-10-09T09:28:25.974,0,0,0,0,0,0,0,NO_DATA,true
2024-10-10T00:00:00,2024-10-10T09:52:06.068,69,19,30,19,30,31,40,READY,false
2024-10-11T00:00:00,2024-10-11T09:52:29.474,0,0,0,0,0,0,0,NO_DATA,true
2024-10-12T00:00:00,2024-10-12T18:30:38.36,70,17,30,20,30,33,40,READY,false
2024-10-13T00:00:00,2024-10-13T13:16:38.593,68,19,30,17,30,32,40,READY,false
2024-10-15T00:00:00,2024-10-15T10:54:44.862,0,0,0,0,0,0,0,NO_DATA,true
